World Port Index Number;Main Port Name;Country Code;Digital Nautical Chart;Latitude;Longitude
12340.0;Ciudad Bolivar;Venezuela;gen14a;8.133333000000000;-63.549999999999997
12420.0;Moengo;Suriname;gen14a;5.633333000000000;-54.416666999999997
12710.0;Cabedelo;Brazil;a0112710, coa01d, gen01b, h0112710;-6.966667000000000;-34.833333000000003
19890.0;Karluk;United States;a2519995, coa25d, gen25b;57.566667000000002;-154.449999999999989
19930.0;Dry Spruce Bay;United States;a2519820, coa25d, gen25b;57.933332999999998;-153.033332999999999
19980.0;Hogg Island;United States;coa25d, gen25b;58.466667000000001;-152.683333000000005
20070.0;Belkofski;United States;a2520090, coa25b, gen25b;55.083333000000003;-162.033332999999999
20170.0;Alcan Harbor;United States;coa24k, gen24c, h2420170;52.733333000000002;174.066666999999995
20180.0;Massacre Bay;United States;coa24k, gen24c, h2420180;52.833333000000003;173.233332999999988
20240.0;Egegik;United States;coa25c, gen25b;58.200000000000003;-157.366667000000007
